date,trip_count,avg_trip_minutes,member_trips,casual_trips
2022-01-01,20428,32.92466304745121,14040,6388
2022-01-02,43009,39.52875276143753,31016,11993
2022-01-03,33189,42.55643763345285,28717,4472
2022-01-04,36842,49.94331475580406,31669,5173
2022-01-05,34230,35.11444932028435,29313,4917
2022-01-06,44787,29.77198753693408,38231,6556
2022-01-07,17401,42.64554581920579,15068,2333
2022-01-08,24455,47.07671009882097,20427,4028
2022-01-09,21479,37.01781238496516,17967,3512
2022-01-10,34727,32.152228413050366,30773,3954
2022-01-11,26824,29.43676339223581,24119,2705
2022-01-12,40568,28.33706308749096,35577,4991
2022-01-13,50572,17.110270120817844,43228,7344
2022-01-14,45714,18.32092296451853,38897,6817
2022-01-15,22839,18.593184066727968,19413,3426
2022-01-16,20930,18.656597906513777,17662,3268
2022-01-17,29084,14.222136565923991,25010,4074
2022-01-18,42935,14.719666712860526,37837,5098
2022-01-19,54011,14.177843636790037,46684,7327
2022-01-20,33928,14.674509433702744,29681,4247
2022-01-21,33598,13.462414738972557,29676,3922
2022-01-22,31969,16.54076244434713,26573,5396
2022-01-23,32967,15.52248379844491,27197,5770
2022-01-24,41488,12.191862688809616,36836,4652
2022-01-25,50692,12.697039755780004,44454,6238
2022-01-26,42005,12.533845233900728,37328,4677
2022-01-27,43830,12.513118249296523,38701,5129
2022-01-28,34871,13.080735049181268,30938,3933
2022-01-29,2848,31.679609234550565,2350,498
2022-01-30,9486,26.220889315833862,8396,1090
2022-01-31,22349,17.07234280803019,20235,2114
2022-02-01,29338,16.408870675119868,26406,2932
2022-02-02,41947,15.446238458451539,37094,4853
2022-02-03,26568,19.391614164910166,23390,3178
2022-02-04,20309,14.635502214125099,18054,2255
2022-02-05,29638,13.523175037676856,24878,4760
2022-02-06,28887,15.309483133704896,24207,4680
2022-02-07,30717,11.9096401818754,27736,2981
2022-02-08,51893,12.817004983331085,45666,6227
2022-02-09,56007,13.892379660875724,49021,6986
2022-02-10,61937,14.74052279493679,52706,9231
2022-02-11,64614,15.713164568824093,52601,12013
2022-02-12,68575,21.255207833515616,48006,20569
2022-02-13,20384,14.326304664606226,17002,3382
2022-02-14,34198,13.056924396650878,30627,3571
2022-02-15,40550,12.37458834484176,36179,4371
2022-02-16,53683,13.161434912976796,46703,6980
2022-02-17,67432,16.095799293609364,55659,11773
2022-02-18,47038,14.7300262900917,39690,7348
2022-02-19,32450,15.943864109912687,26250,6200
2022-02-20,31051,18.22445836849055,24720,6331
2022-02-21,52366,27.479718911762088,40074,12292
2022-02-22,36459,15.26395788922717,31457,5002
2022-02-23,66325,16.15082304962935,53782,12543
2022-02-24,44725,13.751836163592325,39120,5605
2022-02-25,30412,14.400198657328248,26329,4083
2022-02-26,41415,15.56168730572659,32462,8953
2022-02-27,42805,18.32299093408091,33094,9711
2022-02-28,45636,14.69112605180121,39971,5665
2022-03-01,56019,13.520108457547142,48672,7347
2022-03-02,67108,14.32067855943653,56644,10464
2022-03-03,55408,13.57345349588507,47799,7609
2022-03-04,49704,13.144485918638338,41927,7777
2022-03-05,51358,17.751380862767242,39159,12199
2022-03-06,54531,19.097866026358094,39193,15338
2022-03-07,67882,15.6855161412451,55062,12820
2022-03-08,62178,14.279977067719557,52956,9222
