date,ADPT,ASLP,ASTP,AWBT,AWND,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09
2022-01-01,100.0,10078.0,10078.0,106.0,2.8,19.3,89.0,83.0,93.0,0.0,0.0,11.6,13.9,10.0,200.0,200.0,6.3,7.6,1.0,,,,,,
2022-01-02,67.0,10051.0,10024.0,83.0,4.3,1.0,80.0,63.0,93.0,0.0,0.0,11.4,15.6,3.9,310.0,310.0,12.5,14.8,1.0,,,,,,
2022-01-03,-100.0,10196.0,10169.0,-39.0,6.4,0.0,49.0,38.0,62.0,0.0,0.0,1.4,3.9,-4.3,340.0,350.0,12.5,15.2,,,,,,,
2022-01-04,-117.0,10281.0,10268.0,-44.0,3.9,0.0,48.0,35.0,60.0,0.0,0.0,-2.7,2.2,-6.0,320.0,350.0,8.9,12.1,,,,,,,
2022-01-05,6.0,10132.0,10139.0,33.0,3.4,6.1,76.0,52.0,86.0,0.0,0.0,3.2,8.9,0.0,250.0,200.0,6.7,10.7,1.0,,,,,1.0,
2022-01-06,-72.0,10115.0,10095.0,0.0,5.0,0.0,45.0,33.0,73.0,0.0,0.0,4.9,6.1,2.2,290.0,270.0,12.5,14.8,,,,,,,
2022-01-07,-67.0,10125.0,10102.0,-22.0,8.3,8.4,63.0,44.0,88.0,246.0,200.0,0.7,2.2,-2.1,300.0,290.0,13.0,17.4,1.0,,,,,,
2022-01-08,-139.0,10332.0,10305.0,-56.0,4.8,0.0,43.0,30.0,55.0,0.0,130.0,-2.5,0.0,-4.9,310.0,300.0,12.5,15.7,,,,,,,
2022-01-09,-33.0,10224.0,10230.0,6.0,4.9,2.8,65.0,41.0,83.0,0.0,80.0,1.4,5.6,-1.0,210.0,210.0,9.4,12.1,,,,,,,
2022-01-10,-111.0,10196.0,10173.0,-33.0,7.5,0.0,44.0,33.0,65.0,0.0,0.0,1.6,5.6,-3.2,310.0,320.0,11.6,15.7,,,,,,,
2022-01-11,-178.0,10312.0,10288.0,-89.0,6.4,0.0,41.0,33.0,57.0,0.0,0.0,-5.4,-3.2,-8.2,320.0,310.0,12.5,16.5,,,,,,,
2022-01-12,-106.0,10224.0,10224.0,-28.0,4.4,0.0,44.0,36.0,55.0,0.0,0.0,-1.9,5.6,-6.6,220.0,220.0,8.9,11.2,,,,,,,
2022-01-13,-22.0,10149.0,10146.0,17.0,2.6,0.0,64.0,46.0,79.0,0.0,0.0,4.0,7.8,0.6,50.0,60.0,5.8,7.6,,,,,,,
2022-01-14,-33.0,10098.0,10081.0,6.0,7.6,0.0,64.0,57.0,82.0,0.0,0.0,4.8,6.1,-5.5,350.0,360.0,13.4,18.3,,,,,,,
2022-01-15,-178.0,10247.0,10217.0,-106.0,5.8,0.0,48.0,34.0,62.0,0.0,0.0,-6.7,-5.5,-10.5,330.0,330.0,10.7,13.9,,,,,,,
2022-01-16,-111.0,10237.0,10217.0,-67.0,5.5,9.1,66.0,46.0,89.0,15.0,0.0,-8.0,4.4,-12.1,50.0,80.0,10.3,13.0,1.0,,,,,,
2022-01-17,-11.0,9895.0,9895.0,22.0,8.6,26.9,69.0,50.0,89.0,0.0,0.0,3.9,7.8,1.7,60.0,60.0,16.1,19.2,1.0,,,,,1.0,
2022-01-18,-94.0,10119.0,10081.0,-22.0,8.4,0.0,45.0,33.0,54.0,0.0,0.0,1.8,3.3,-0.5,310.0,300.0,14.8,19.2,,,,,,,
2022-01-19,-56.0,10176.0,10169.0,11.0,4.7,0.0,46.0,33.0,61.0,0.0,0.0,3.2,10.6,-1.6,200.0,200.0,9.4,13.0,,,,,,1.0,
2022-01-20,-56.0,10210.0,10179.0,-6.0,5.4,6.4,60.0,40.0,85.0,8.0,0.0,5.1,8.3,-4.9,350.0,340.0,9.8,12.1,1.0,,,,,,
2022-01-21,-178.0,10335.0,10318.0,-94.0,6.2,0.0,43.0,38.0,51.0,0.0,0.0,-6.0,-4.9,-9.3,10.0,20.0,11.2,13.9,,,,,,,
2022-01-22,-150.0,10264.0,10268.0,-72.0,3.4,0.0,46.0,35.0,53.0,0.0,0.0,-5.9,-1.0,-9.9,20.0,30.0,7.2,8.9,,,,,,,
2022-01-23,-117.0,10122.0,10122.0,-33.0,4.2,0.3,44.0,29.0,79.0,5.0,0.0,-0.7,3.3,-3.2,240.0,270.0,8.9,12.1,,,,,,1.0,
2022-01-24,-67.0,10115.0,10102.0,-22.0,3.6,0.0,61.0,52.0,73.0,5.0,0.0,-0.2,3.3,-2.1,190.0,340.0,6.7,8.5,,,,,,1.0,
2022-01-25,-56.0,10146.0,10119.0,0.0,4.7,0.0,54.0,41.0,65.0,0.0,0.0,3.6,6.1,-1.0,300.0,200.0,9.4,12.5,,,,,,1.0,
2022-01-26,-161.0,10274.0,10251.0,-67.0,5.6,0.0,38.0,29.0,53.0,0.0,0.0,-2.3,-1.0,-6.0,320.0,320.0,10.7,14.3,,,,,,,
2022-01-27,-139.0,10288.0,10284.0,-61.0,3.7,0.0,44.0,36.0,54.0,0.0,0.0,-4.2,0.0,-7.7,160.0,180.0,7.6,9.4,,,,,,,
2022-01-28,-61.0,10193.0,10190.0,-22.0,3.5,2.8,67.0,38.0,85.0,33.0,0.0,0.1,1.7,-1.0,30.0,30.0,8.1,11.2,1.0,,,,,1.0,
2022-01-29,-122.0,10061.0,10054.0,-78.0,10.2,12.4,66.0,39.0,88.0,206.0,130.0,-4.8,-1.0,-9.3,340.0,350.0,14.3,20.6,1.0,,,,,1.0,1.0
2022-01-30,-161.0,10163.0,10135.0,-83.0,6.1,0.0,45.0,37.0,54.0,0.0,180.0,-7.1,-2.7,-9.9,310.0,310.0,12.5,16.5,,,,,,,
2022-01-31,-128.0,10278.0,10254.0,-56.0,2.9,0.0,48.0,39.0,60.0,0.0,150.0,-3.4,-1.0,-7.1,50.0,60.0,4.5,7.2,,,,,,,
2022-02-01,-83.0,10335.0,10322.0,-33.0,3.4,0.0,56.0,47.0,70.0,0.0,130.0,-1.7,2.8,-4.3,60.0,60.0,6.7,9.4,,,,,,,
2022-02-02,0.0,10298.0,10295.0,17.0,2.3,0.0,79.0,70.0,89.0,0.0,100.0,2.3,5.6,-0.5,40.0,60.0,4.5,5.8,1.0,,,,,1.0,
2022-02-03,50.0,10224.0,10224.0,61.0,2.6,10.7,87.0,86.0,92.0,0.0,50.0,6.4,8.9,3.9,190.0,170.0,4.5,6.3,1.0,1.0,,,,1.0,
2022-02-04,6.0,10129.0,10112.0,22.0,5.3,18.8,81.0,72.0,87.0,0.0,0.0,5.8,12.8,-2.1,310.0,320.0,10.7,12.5,1.0,,,,1.0,,
2022-02-05,-111.0,10251.0,10217.0,-56.0,7.9,0.0,56.0,46.0,75.0,0.0,0.0,-2.8,-1.6,-6.0,310.0,300.0,13.0,16.1,,,,,,,
2022-02-06,-122.0,10356.0,10342.0,-61.0,3.2,0.0,52.0,37.0,69.0,0.0,0.0,-4.8,0.0,-8.2,180.0,180.0,6.3,8.1,,,,,,,
2022-02-07,-11.0,10240.0,10247.0,6.0,3.1,3.8,84.0,72.0,89.0,0.0,0.0,0.5,4.4,-0.5,40.0,50.0,5.8,7.6,1.0,,,1.0,,1.0,
2022-02-08,-28.0,10139.0,10122.0,11.0,5.7,2.0,62.0,42.0,86.0,0.0,0.0,4.1,8.3,1.1,310.0,310.0,11.6,14.3,1.0,,,,,,
2022-02-09,-56.0,10169.0,10159.0,0.0,3.7,0.0,54.0,35.0,79.0,0.0,0.0,2.8,6.7,-0.5,270.0,260.0,7.6,10.7,,,,,,,
2022-02-10,-33.0,10115.0,10102.0,28.0,4.4,0.0,51.0,23.0,89.0,0.0,0.0,6.3,13.3,1.1,270.0,270.0,12.5,16.1,1.0,,,,,1.0,
2022-02-11,-28.0,10142.0,10132.0,39.0,5.0,0.0,46.0,24.0,63.0,0.0,0.0,8.6,13.3,2.8,170.0,170.0,11.2,14.8,,,,,,,
2022-02-12,-28.0,10139.0,10119.0,56.0,5.9,0.0,36.0,24.0,50.0,0.0,0.0,11.8,15.6,5.6,260.0,270.0,11.2,14.8,,,,,,,
2022-02-13,-50.0,10193.0,10183.0,-17.0,4.7,4.8,69.0,47.0,85.0,61.0,30.0,2.8,5.6,-3.2,350.0,320.0,8.1,11.6,1.0,,,,,1.0,
2022-02-14,-167.0,10220.0,10196.0,-78.0,7.9,0.0,41.0,32.0,54.0,0.0,50.0,-4.3,-2.7,-7.7,320.0,300.0,11.6,15.2,,,,,,,
2022-02-15,-172.0,10369.0,10345.0,-72.0,4.9,0.0,36.0,23.0,45.0,0.0,0.0,-4.7,0.0,-7.7,310.0,320.0,9.4,11.2,,,,,,,
2022-02-16,-39.0,10362.0,10362.0,11.0,4.5,0.0,59.0,43.0,74.0,0.0,0.0,1.6,8.3,-2.7,190.0,180.0,8.9,11.2,,,,,,,
2022-02-17,61.0,10179.0,10193.0,94.0,5.6,7.6,65.0,48.0,83.0,0.0,0.0,11.6,17.2,8.3,160.0,210.0,9.4,12.5,1.0,,,,,,
2022-02-18,-28.0,10075.0,10041.0,33.0,9.1,6.4,51.0,33.0,81.0,0.0,0.0,9.9,17.2,-2.1,320.0,310.0,16.5,22.4,,,,,,,
2022-02-19,-122.0,10169.0,10152.0,-39.0,7.6,0.0,41.0,29.0,54.0,0.0,0.0,0.1,5.0,-3.8,300.0,290.0,16.5,20.6,,,,,,,
2022-02-20,-133.0,10291.0,10278.0,-50.0,5.8,0.0,42.0,28.0,54.0,0.0,0.0,-2.6,2.2,-5.5,310.0,310.0,15.7,21.9,,,,,,,
2022-02-21,-44.0,10271.0,10257.0,17.0,3.4,0.0,51.0,30.0,82.0,0.0,0.0,4.1,12.2,0.6,210.0,220.0,7.2,10.3,,,,,,,
2022-02-22,50.0,10224.0,10224.0,61.0,4.5,5.8,86.0,74.0,93.0,0.0,0.0,5.6,13.3,2.2,170.0,180.0,10.3,13.9,1.0,1.0,,,,1.0,
2022-02-23,44.0,10159.0,10135.0,89.0,6.4,0.0,60.0,29.0,86.0,0.0,0.0,14.4,20.0,2.2,320.0,320.0,14.3,17.9,,,,,,,
2022-02-24,-117.0,10305.0,10288.0,-33.0,4.8,0.0,43.0,30.0,52.0,0.0,0.0,1.1,2.2,-1.6,330.0,330.0,9.4,11.6,,,,,,,
2022-02-25,-39.0,10203.0,10196.0,-11.0,6.6,20.8,72.0,48.0,89.0,8.0,0.0,0.8,6.1,-2.7,320.0,320.0,11.6,15.7,1.0,,,1.0,1.0,,
2022-02-26,-111.0,10281.0,10274.0,-39.0,5.0,0.0,46.0,35.0,55.0,0.0,0.0,-1.1,3.3,-4.3,320.0,310.0,10.7,14.3,,,,,,,
2022-02-27,-100.0,10163.0,10156.0,-11.0,7.2,0.0,39.0,22.0,54.0,0.0,0.0,2.4,8.9,-1.0,310.0,250.0,13.4,19.2,,,,,,,
2022-02-28,-156.0,10240.0,10217.0,-44.0,5.2,0.0,31.0,21.0,59.0,0.0,0.0,0.8,2.2,-2.7,320.0,320.0,11.2,15.7,,,,,,,
2022-03-01,-50.0,10196.0,10200.0,11.0,4.2,0.0,53.0,26.0,77.0,0.0,0.0,2.6,8.9,-0.5,170.0,190.0,10.3,13.0,,,,,,,
2022-03-02,-22.0,10142.0,10135.0,33.0,4.7,0.0,52.0,27.0,74.0,0.0,0.0,7.7,11.7,4.4,310.0,310.0,8.1,10.3,,,,,,,
2022-03-03,-89.0,10183.0,10152.0,-6.0,8.2,0.8,42.0,28.0,71.0,0.0,0.0,5.6,8.9,-3.8,310.0,320.0,13.4,17.0,,,,,,,
2022-03-04,-150.0,10322.0,10308.0,-50.0,4.2,0.0,34.0,23.0,48.0,0.0,0.0,-1.9,3.3,-5.5,340.0,310.0,9.4,11.2,,,,,,,
2022-03-05,-61.0,10312.0,10301.0,6.0,3.0,0.0,49.0,28.0,67.0,0.0,0.0,3.1,7.2,-0.5,160.0,180.0,8.1,10.3,,,,,,,
2022-03-06,78.0,10166.0,10166.0,100.0,4.7,1.3,73.0,63.0,84.0,0.0,0.0,9.6,20.0,3.9,220.0,210.0,9.8,13.0,,,,,,,
2022-03-07,89.0,10061.0,10058.0,133.0,6.2,1.3,57.0,36.0,67.0,0.0,0.0,18.2,23.3,10.0,290.0,290.0,20.1,25.0,,,,,,,
2022-03-08,-72.0,10176.0,10146.0,11.0,8.2,0.0,39.0,30.0,48.0,0.0,0.0,8.7,10.0,4.4,310.0,310.0,17.0,20.6,,,,,,,
2022-03-09,-28.0,10173.0,10163.0,11.0,4.4,14.7,73.0,37.0,92.0,15.0,0.0,3.2,5.0,0.6,40.0,40.0,7.6,9.4,1.0,,,1.0,,,
2022-03-10,-17.0,10207.0,10193.0,22.0,2.5,0.0,65.0,36.0,93.0,0.0,0.0,4.0,10.0,0.0,170.0,130.0,5.4,6.7,1.0,,,,,1.0,
2022-03-11,-17.0,10166.0,10166.0,39.0,3.1,0.0,56.0,22.0,86.0,0.0,0.0,7.2,11.7,2.2,150.0,160.0,7.2,9.4,,,,,,1.0,
2022-03-12,-28.0,9983.0,9970.0,6.0,8.4,11.9,72.0,37.0,93.0,23.0,0.0,5.1,8.3,-3.8,320.0,300.0,17.9,21.5,1.0,1.0,,,,,
